Cloudlet ID,User ID,Status,Data Center ID,Submission Time,Start Time,Finish Time,Cloudlet Length,Processing Cost,File Size,CPU Utilization,RAM Utilization,BW Utilization,Waiting Time
367,5,SUCCESS,2,0.03,147.59,166.99,19408,108.64,553,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,147.56
423,5,SUCCESS,3,0.03,160.1,167.95,7851,84.48,333,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,160.07
269,5,SUCCESS,3,0.03,157.7,169.29,11586,158.29,556,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,157.67
294,5,SUCCESS,2,0.03,159.16,169.55,10385,126.64,624,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,159.13
391,5,SUCCESS,2,0.03,166.99,169.65,2652,84.32,656,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,166.96
441,5,SUCCESS,3,0.03,167.95,172.41,4456,82.28,328,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,167.92
306,5,SUCCESS,2,0.03,169.55,172.81,3260,88.72,462,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,169.52
317,5,SUCCESS,3,0.03,169.29,173.03,3742,166.65,893,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,169.26
417,5,SUCCESS,3,0.03,154.48,173.93,19459,155.87,582,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,154.45
316,5,SUCCESS,3,0.03,165.96,174.1,8147,118.36,327,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,165.93
300,5,SUCCESS,2,0.03,166.41,177.16,10742,77.76,599,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,166.38
379,5,SUCCESS,2,0.03,159.25,178.17,18923,69.28,351,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,159.22
447,5,SUCCESS,3,0.03,172.41,178.81,6406,168.41,614,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,172.38
